URL,Type,Status Code,In Sitemap,Priority,GSC Indexing Blocker,Notes
https://theccpress.com/category/altcoin-news/page/25/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/26/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/27/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/28/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/29/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/30/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/31/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/32/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/35/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/36/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/37/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/40/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/41/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/42/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/45/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/46/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/47/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/48/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/49/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/51/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/52/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/56/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/58/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/62/,pagination,200,no,High,,
https://theccpress.com/category/altcoin-news/page/75/,pagination,200,no,High,,
https://theccpress.com/category/bitcoin/page/10/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/11/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/12/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/13/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/14/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/16/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/17/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/18/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/19/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/20/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/25/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/27/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/3/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/30/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/33/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/35/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/4/,pagination,,no,High,,
https://theccpress.com/category/bitcoin/page/6/,pagination,,no,High,,
