URL,Type,Status Code,Indexability,In Sitemap,Orphan URL,Noindex Signal,Canonical Missing,Canonicalised,Meta Missing,Meta Duplicate,Title Missing,Title Duplicate,Title Over 60,Backlink Rows,Referring Domains,Follow Rows,All Inlinks Rows,GSC Clicks,GSC Impressions,GSC CTR,GSC Position,Suggested Action,Replacement URL,Priority,Decision Confidence,GSC Indexing Blocker,GSC Last Crawl,Top Inlink Sources,Problem Inlink Sources,Notes
https://theccpress.com/3-top-meme-coins-to-buy-now-dragoins-0-0000292-public-sale-leads-the-charge/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,,,,,301,https://theccpress.com/3-top-meme-coins-to-buy-now-dragoins-0-0000292-public-sale-leads-the-charge/,Critical,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,,,,Duplicate or variant URL pattern | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://theccpress.com/5-best-altcoins-to-buy-now-in-2025-for-50x-returns-web3ai-leads-the-list/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,2,0%,47,301,https://theccpress.com/5-best-altcoins-to-buy-now-in-2025-for-50x-returns-web3ai-leads-the-list/,Critical,High,,,,,Duplicate or variant URL pattern
https://theccpress.com/aave-aave-updates-cardano-ada-bullish-trends-cold-wallet-top-trending-crypto-for-2025/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,,,,,301,https://theccpress.com/aave-aave-updates-cardano-ada-bullish-trends-cold-wallet-top-trending-crypto-for-2025/,Critical,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,,,,Duplicate or variant URL pattern | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://theccpress.com/aave-staking-module-buybacks/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,,,,,301,https://theccpress.com/aave-staking-module-buybacks/,Critical,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,,,,Duplicate or variant URL pattern | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://theccpress.com/ada-blockdags-beta-testnet-debuts/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,7,0%,20,301,https://theccpress.com/ada-blockdags-beta-testnet-debuts/,Critical,High,,,,,Duplicate or variant URL pattern
https://theccpress.com/american-banking-giant-pnc-joins-ripples-blockchain-payment-network/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,,,,,301,https://theccpress.com/american-banking-giant-pnc-joins-ripples-blockchain-payment-network/,Critical,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,,,,Duplicate or variant URL pattern | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://theccpress.com/aptos-left-you-watching-from-the-sidelines-qubetics-might-be-one-of-the-best-cryptos-to-buy-this-month/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,,,,,301,https://theccpress.com/aptos-left-you-watching-from-the-sidelines-qubetics-might-be-one-of-the-best-cryptos-to-buy-this-month/,Critical,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,,,,Duplicate or variant URL pattern | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://theccpress.com/arbismart-review-the-whole-truth/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,21,0%,43.52,301,https://theccpress.com/arbismart-review-the-whole-truth/,Critical,High,,,,,Duplicate or variant URL pattern
https://theccpress.com/arctic-pablo-coin-presale-a-prime-opportunity-in-top-meme-coins-to-invest/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,8,0%,37.75,301,https://theccpress.com/arctic-pablo-coin-presale-a-prime-opportunity-in-top-meme-coins-to-invest/,Critical,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,,,,Duplicate or variant URL pattern | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://theccpress.com/arctic-pablo-coin-shines-in-the-best-new-meme-coins-for-massive-return-potential-alongside-neiro-coin-and-dogecoin/amp/,amp,,,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,5,0%,33,301,https://theccpress.com/arctic-pablo-coin-shines-in-the-best-new-meme-coins-for-massive-return-potential-alongside-neiro-coin-and-dogecoin/,Critical,High,,,,,Duplicate or variant URL pattern
