URL,Type,Status Code,In Sitemap,GSC Indexing Blocker,Priority,Top Inlink Sources,Notes
https://tokentopnews.com/cmc/,cmc_archive,200,no,,Critical,/cmc/page/2/ (53) | /cmc/page/9/ (52) | /cmc/page/8/ (52),CMC archive is noindex and heavily internally linked
https://tokentopnews.com/cmc/page/10/,cmc_pagination,200,no,,Critical,/cmc/page/9/ (2) | /cmc/page/11/ (2) | /cmc/page/8/ (1),
https://tokentopnews.com/cmc/page/11/,cmc_pagination,200,no,,Critical,/cmc/page/10/ (2) | /cmc/page/12/ (2) | /cmc/page/9/ (1),
https://tokentopnews.com/cmc/page/12/,cmc_pagination,200,no,,Critical,/cmc/page/11/ (2) | /cmc/page/13/ (2) | /cmc/page/10/ (1),
https://tokentopnews.com/cmc/page/13/,cmc_pagination,200,no,,Critical,/cmc/page/12/ (2) | /cmc/page/14/ (2) | /cmc/page/11/ (1),
https://tokentopnews.com/cmc/page/14/,cmc_pagination,200,no,,Critical,/cmc/page/15/ (2) | /cmc/page/13/ (2) | /cmc/page/16/ (1),
https://tokentopnews.com/cmc/page/15/,cmc_pagination,200,no,,Critical,/cmc/page/16/ (2) | /cmc/page/14/ (2) | /cmc/page/17/ (1),
https://tokentopnews.com/cmc/page/16/,cmc_pagination,200,no,,Critical,/cmc/page/17/ (2) | /cmc/page/15/ (2) | /cmc/page/16/ (1),
https://tokentopnews.com/cmc/page/17/,cmc_pagination,200,no,,Critical,/cmc/page/16/ (2) | /cmc/page/18/ (2) | /cmc/page/17/ (1),
https://tokentopnews.com/cmc/page/18/,cmc_pagination,200,no,,Critical,/cmc/page/17/ (2) | /cmc/page/19/ (2) | /cmc/page/20/ (1),
https://tokentopnews.com/cmc/page/19/,cmc_pagination,200,no,,Critical,/cmc/page/20/ (2) | /cmc/page/18/ (2) | /cmc/page/21/ (1),
https://tokentopnews.com/cmc/page/2/,cmc_pagination,200,no,,Critical,/cmc/ (2) | /cmc/page/3/ (2) | /cmc/page/2/ (1),
https://tokentopnews.com/cmc/page/20/,cmc_pagination,200,no,,Critical,/cmc/page/21/ (2) | /cmc/page/19/ (2) | /cmc/page/20/ (1),
https://tokentopnews.com/cmc/page/21/,cmc_pagination,200,no,,Critical,/cmc/page/20/ (2) | /cmc/page/22/ (2) | /cmc/page/21/ (1),
https://tokentopnews.com/cmc/page/22/,cmc_pagination,200,no,,Critical,/cmc/page/21/ (2) | /cmc/page/23/ (2) | /cmc/page/20/ (1),
https://tokentopnews.com/cmc/page/23/,cmc_pagination,200,no,,Critical,/cmc/page/22/ (2) | /cmc/page/24/ (2) | /cmc/page/21/ (1),
https://tokentopnews.com/cmc/page/24/,cmc_pagination,200,no,,Critical,/cmc/page/23/ (2) | /cmc/page/25/ (2) | /cmc/page/22/ (1),
https://tokentopnews.com/cmc/page/25/,cmc_pagination,200,no,,Critical,/cmc/page/24/ (2) | /cmc/page/26/ (2) | /cmc/page/23/ (1),
https://tokentopnews.com/cmc/page/26/,cmc_pagination,200,no,,Critical,/cmc/page/27/ (2) | /cmc/page/25/ (2) | /cmc/page/28/ (1),
https://tokentopnews.com/cmc/page/27/,cmc_pagination,200,no,,Critical,/cmc/page/28/ (2) | /cmc/page/26/ (2) | /cmc/page/29/ (1),
https://tokentopnews.com/cmc/page/28/,cmc_pagination,200,no,,Critical,/cmc/page/29/ (2) | /cmc/page/27/ (2) | /cmc/page/30/ (1),
https://tokentopnews.com/cmc/page/29/,cmc_pagination,200,no,,Critical,/cmc/page/30/ (2) | /cmc/page/28/ (2) | /cmc/page/31/ (1),
https://tokentopnews.com/cmc/page/3/,cmc_pagination,200,no,,Critical,/cmc/page/2/ (2) | /cmc/page/4/ (2) | /cmc/ (1),
https://tokentopnews.com/cmc/page/30/,cmc_pagination,200,no,,Critical,/cmc/page/31/ (2) | /cmc/page/29/ (2) | /cmc/page/30/ (1),
https://tokentopnews.com/cmc/page/31/,cmc_pagination,200,no,,Critical,/cmc/page/30/ (2) | /cmc/page/32/ (2) | /cmc/page/31/ (1),
https://tokentopnews.com/cmc/page/32/,cmc_pagination,200,no,,Critical,/cmc/page/31/ (2) | /cmc/page/33/ (2) | /cmc/page/30/ (1),
https://tokentopnews.com/cmc/page/33/,cmc_pagination,200,no,,Critical,/cmc/page/32/ (2) | /cmc/page/34/ (2) | /cmc/page/31/ (1),
https://tokentopnews.com/cmc/page/34/,cmc_pagination,200,no,,Critical,/cmc/page/33/ (2) | /cmc/ (1) | /cmc/page/9/ (1),
https://tokentopnews.com/cmc/page/4/,cmc_pagination,200,no,,Critical,/cmc/page/3/ (2) | /cmc/page/5/ (2) | /cmc/page/2/ (1),
https://tokentopnews.com/cmc/page/5/,cmc_pagination,200,no,,Critical,/cmc/page/6/ (2) | /cmc/page/4/ (2) | /cmc/page/3/ (1),
https://tokentopnews.com/cmc/page/6/,cmc_pagination,200,no,,Critical,/cmc/page/7/ (2) | /cmc/page/5/ (2) | /cmc/page/8/ (1),
https://tokentopnews.com/cmc/page/7/,cmc_pagination,200,no,,Critical,/cmc/page/8/ (2) | /cmc/page/6/ (2) | /cmc/page/9/ (1),
https://tokentopnews.com/cmc/page/8/,cmc_pagination,200,no,,Critical,/cmc/page/9/ (2) | /cmc/page/7/ (2) | /cmc/page/8/ (1),
https://tokentopnews.com/cmc/page/9/,cmc_pagination,200,no,,Critical,/cmc/page/8/ (2) | /cmc/page/10/ (2) | /cmc/page/9/ (1),
https://tokentopnews.com/coin/aave/,coin_page,200,no,,Critical,/whale-deposit-20000-eth-aave-v3/ (1) | /ethereum-surges-2800-market-rally/ (1) | /mkr-swap-sky-makerdao-rebranding/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/ada/,coin_page,200,no,,Critical,/coin/ada/ (1) | /cardano-ada-price-analysis-stable-structure-suggests-market-waiting-for-catalyst/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/aptos/,coin_page,200,no,,Critical,/best-altcoins-to-invest-in-now-qubetics-cosmos-and-aptos-lead-the-charge/ (1) | /bullzilla-polkadot-and-wlfi-dominate-the-top-cryptos-to-invest-in-washington-dc/ (1) | /former-aptos-ceo-significant-sui-holdings/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/arbitrum/,coin_page,200,no,,Critical,/magic-token-surges-arbitrum-ai-update/ (1) | /solana-prediction-2030-eyes-3k-as-qubetics-record-rally-gains-traction/ (1) | /coin/arbitrum/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/aster/,coin_page,200,no,,Critical,/bullzilla-presale-gains-heat-as-binance-coin-and-aster-climb-best-cryptos-to-buy-now/ (1) | /aster-short-position-liquidation-price/ (1) | /coin/aster/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/avalanche/,coin_page,200,no,,Critical,/missed-trx-and-avax-apemars-stage-15-next-100x-crypto/ (1) | /qubetics-tics-vs-avalanche-and-hype-final-presale-update-you-cant-ignore/ (1) | /missed-sol-avax-apemars-is-the-next-100x-meme-coin/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/bitcoin-cash/,coin_page,200,no,,Critical,/bitcoin-cash-drop-coindesk-20-index/ (1) | /coin/bitcoin-cash/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/bitcoin/,coin_page,200,no,,Critical,/bitcoin-worst-quarter-market-fatigue/ (1) | /bitcoin-options-dominate-futures-interest/ (1) | /bitcoin-unrealized-loss-glassnode-analysis/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/bitget-token/,coin_page,200,no,,Critical,/coin/bitget-token/ (1) | /cex-platform-coins-bgb-gt-rise/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
https://tokentopnews.com/coin/bittensor/,coin_page,200,no,,Critical,/everything-blockchain-invests-five-tokens/ (1) | /coin/bittensor/ (1) | /bittensor-decentralized-ai-investment/ (1),Coin detail URL is canonicalised to /coin/ and should not stay as an index target | Replacement candidate: https://tokentopnews.com/coin/
