URL,Type,Status Code,GSC Clicks,GSC Impressions,Backlink Rows,Follow Rows,Priority,GSC Indexing Blocker,GSC Last Crawl,Notes
https://tokentopnews.com/crypto-market-rally-2026-best-meme-coins-to-invest-including-apemars-stage-6/,post,200,1,16,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-02-20,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/james-wynn-liquidates-btc-position/,post,200,0,5,1,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2025-10-25,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/crypto-prices-continue-to-fall-btc-towards-20000/,post,200,0,1,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-04-11,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/cryptocurrency-news/tron/,section_archive,200,0,1,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-01-16,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/trump-supports-cryptocurrency-bitcoin-ethereum/,post,200,0,1,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2025-12-12,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/ethereum-whale-buys-eth-price-surge/,post,200,,,1,1,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2025-11-12,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/altcoin-trader-alert-best-altcoins-to-invest-apemars-cardano-litecoin/,post,200,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-03-17,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/analyst-lark-davis-sees-polygon-at-ten-dollars-by-the-end-of-the-year/,post,200,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-03-01,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/binance-dupes-customers-with-a-bitcoin-audit/,post,200,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-02-17,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/bitcoin-whale-131-btc-binance-transfer/,post,200,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-02-01,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/bitcoin-whale-131-btc-binance-transfer/?prefer_reader_view=1&prefer_safari=1,post,,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-02-01,Replacement candidate: https://tokentopnews.com/bitcoin-whale-131-btc-binance-transfer/ | Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/bitpanda-receives-the-coveted-bafin-license/,post,200,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-01-07,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/core-scientific-going-public-in-4-3-billion-spac-merger/,post,200,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-01-19,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
https://tokentopnews.com/crypto-prices-continue-to-fall/,post,,,,0,0,High,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,2026-04-11,Đã thu thập dữ liệu – hiện chưa được lập chỉ mục
