"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","Clicks","Impressions","CTR","Position","URL Encoded Address","Crawl Timestamp"
"https://tokentopnews.com/coin/just/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","3","2","","120","120","0","0,790","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,756","","","","","1.1","","","","","https://tokentopnews.com/coin/just/","2026-04-14 22:06:15"
"https://tokentopnews.com/coin/cardano/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","4","2","","8","8","0","0,050","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,728","","","","","1.1","","","","","https://tokentopnews.com/coin/cardano/","2026-04-14 22:18:46"
"https://tokentopnews.com/coin/trx/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","3","2","","2","2","0","0,010","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","1,153","","","","","1.1","","","","","https://tokentopnews.com/coin/trx/","2026-04-14 22:11:47"
"https://tokentopnews.com/coin/render/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","8","2","","2","2","0","0,010","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,676","","","","","1.1","","","","","https://tokentopnews.com/coin/render/","2026-04-14 23:43:26"
"https://tokentopnews.com/coin/jupiter/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","8","2","","2","2","0","0,010","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,899","","","","","1.1","","","","","https://tokentopnews.com/coin/jupiter/","2026-04-14 23:44:13"
"https://tokentopnews.com/coin/usdc/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","3","2","","38","38","0","0,250","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,755","","","","","1.1","","","","","https://tokentopnews.com/coin/usdc/","2026-04-14 22:06:35"
"https://tokentopnews.com/coin/kaspa/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","8","2","","2","2","0","0,010","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","1,687","","","","","1.1","","","","","https://tokentopnews.com/coin/kaspa/","2026-04-14 23:46:42"
"https://tokentopnews.com/coin/filecoin/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","4","2","","2","2","0","0,010","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,801","","","","","1.1","","","","","https://tokentopnews.com/coin/filecoin/","2026-04-14 22:30:58"
"https://tokentopnews.com/coin/monero/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","5","2","","3","3","0","0,020","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,824","","","","","1.1","","","","","https://tokentopnews.com/coin/monero/","2026-04-14 22:56:00"
"https://tokentopnews.com/coin/uniswap/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","6","2","","4","4","0","0,030","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","1,065","","","","","1.1","","","","","https://tokentopnews.com/coin/uniswap/","2026-04-14 23:03:31"
"https://tokentopnews.com/coin/cosmos/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","8","2","","3","3","0","0,020","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,872","","","","","1.1","","","","","https://tokentopnews.com/coin/cosmos/","2026-04-14 23:52:18"
"https://tokentopnews.com/coin/aave/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Coin - TokenTopNews","19","195","","0","0","- Find out more at TokenTopNews","31","209","","0","0","","0","","0","","0","TokenTopNews","12","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/coin/","","","","","","146878","45908","12","4","3,000","83,940","Easy","9,221","3","2","","11","11","0","0,070","36","31","0","0","0","0","","","","","f7603bca16542d8cbc4393811da859ed","0,779","","","","","1.1","","","","","https://tokentopnews.com/coin/aave/","2026-04-14 22:07:15"
